[IMOBHL+Helvetica-Bold]|||13.0|||67.680115|||234.4209|||Author Retrospective |||381.4786682128906|||13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,|||234.4209,244.5129,253.05977,257.73688,266.28375,274.83063,280.28726,284.1779,294.075,302.19037,306.8675,312.32413,320.871,328.65228,337.19916,345.3145,353.0958,357.77292,361.68445,369.46573,377.60892, 
[IMOBHL+Helvetica-Bold]|||18.0|||94.32001|||153.0483|||Compiler-Directed Data Prefetching  |||468.94097900390625|||18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,|||153.0483,165.92369,176.9271,192.9345,203.9379,208.9473,213.9567,224.3841,231.3915,237.2469,250.2483,255.2577,262.2651,272.6925,282.7059,288.7053,299.1327,310.13608,315.14008,328.14148,338.15488,344.15427,354.16766,359.17166,371.03906,378.04645,388.47385,394.47324,404.90063,410.90002,420.91342,431.9168,436.9262,447.9296,458.93298,463.93698, 
[IMOBHL+Helvetica-Bold]|||18.0|||115.686035|||116.076294|||in Multiprocessors with Memory Hierarchies |||500.91265869140625|||18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,|||116.076294,121.08209,132.0819,137.08589,152.0817,163.0815,168.0873,174.0831,179.0889,190.0887,197.0925,208.0923,218.1021,228.5259,238.53569,248.54549,259.5453,266.5491,276.5589,281.5629,295.5687,300.5745,306.57028,317.57007,322.57407,337.56985,347.99365,363.99747,374.99725,382.00107,392.01086,397.01486,410.01266,415.01846,425.44226,432.44608,442.45587,449.4597,459.46948,470.46927,475.47507,485.89886,495.90866, 
[IMOBHL+Helvetica-Bold]|||9.0|||132.47998|||306.0||| |||308.73553466796875|||9.0,|||306.0, 
[IMOBHM+Helvetica]|||12.0|||149.76001|||100.7258|||Eddie Gornish |||178.58901977539062|||12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,|||100.7258,108.617,115.17619,121.7354,124.2866,130.8458,134.0786,143.20581,149.72902,153.61221,160.17142,162.72261,168.69382,175.25302, 
[IMOBHM+Helvetica]|||9.0|||162.0|||97.6069|||Nvidia Corporation |||181.0934600830078|||9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,|||97.6069,104.67203,109.552666,111.697784,117.12946,119.27458,124.70626,127.38668,134.4518,139.88348,143.12085,148.55254,153.98422,157.22159,162.65327,165.34944,167.49457,172.92625,178.35794, 
[IMOBHM+Helvetica]|||9.0|||173.99493|||94.133385|||2001 Walsh Avenue |||184.59642028808594|||9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,|||94.133385,99.59065,105.04792,110.50519,115.962456,118.64091,127.99481,133.45207,135.62277,140.52899,145.98625,148.6647,155.2142,160.12042,165.57768,171.03494,176.43317,181.8609, 
[IMOBHM+Helvetica]|||9.0|||185.98987|||87.77674|||Santa Clara, CA 95050  |||193.58824157714844|||9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,|||87.77674,94.20915,99.65756,105.10597,107.7795,113.22791,115.90341,122.98526,125.09791,130.54631,133.8004,139.24881,141.9617,144.63719,151.71904,158.25969,160.93518,166.38359,171.832,177.28041,182.72882,188.17723,190.85272, 
[IMOBHM+Helvetica]|||9.0|||197.9848|||104.51458|||(408) 562-7599 |||174.17787170410156|||9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,|||104.51458,107.76867,113.21708,118.66549,124.1139,127.36799,130.0494,135.4978,140.94621,146.39462,149.64871,155.09712,160.54553,165.99394,171.44235, 
[IMOBHM+Helvetica]|||9.0|||209.97974|||94.61554|||gornish@gmail.com |||184.09750366210938|||9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,|||94.61554,100.03836,105.46118,108.68968,114.15186,116.288124,121.23863,126.70081,136.74844,142.17126,150.39848,155.86066,157.99692,160.13318,162.82048,167.72179,173.1446,181.36198, 
