isAbstract,cap1DicWordNumPer,isPubNum,pubNumPer,isMayName,dictWordNumPer,isEmail,isState,addrNumPer,digitNumPer,isPostCode,isIntro,dateNumPer,nonDictWordNumPer,isSingleCap,noteNumPer,isAffi,isAddr,degreeNumPer,isURL,isPhone,affiNumPer,isKeyWord,isMonth,isPrep,phoneNumPer,isCity,isNote,cap1NonDicWordNumPer,isCountry,classfication_tag
0,0.666666667,0,0,2,0.5,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.333333333,1,TRUE
0,0.666666667,0,0,0,0.5,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,TRUE
0,0.666666667,0,0,0,0.5,0,0,0,0.25,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,TRUE
0,0.666666667,0,0,0,0.666666667,0,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,TRUE
0,0.666666667,0,0,0,0.5,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,TRUE
0,0.666666667,0,0,0,0.5,0,0,0,0.25,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,TRUE
0,0.666666667,0,0,0,0.5,0,0,0,0.25,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,TRUE
0,0.666666667,0,0,1,0.5,0,1,0,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.333333333,0,TRUE
0,0.727272727,0,0,1,0.5,0,0,0,0.125,2,0,0,0.5,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0.272727273,2,TRUE
0,0.666666667,0,0,0,0.5,0,0,0,0.25,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.333333333,0,TRUE
0,0.5,0,0,1,0.333333333,0,0,0,0.166666667,1,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,TRUE
0,0.666666667,0,0,0,0.666666667,0,0,0,0.333333333,1,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,TRUE
0,0.666666667,0,0,0,0.5,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,TRUE
0,0.75,0,0,1,0.6,0,0,0.2,0,1,0,0,0.4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.25,0,TRUE
0,0.6,0,0,2,0.5,0,0,0.166666667,0.166666667,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.4,1,TRUE
0,0.666666667,0,0,0,0.444444444,0,0,0.111111111,0.111111111,1,0,0,0.555555556,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.333333333,1,TRUE
0,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,1,TRUE
0,0.333333333,0,0,0,0.25,0,0,0,0.25,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,1,TRUE
0,0.333333333,0,0,0,0.25,0,0,0,0.25,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,1,TRUE
0,0.666666667,0,0,2,0.571428571,0,0,0.142857143,0,0,0,0,0.428571429,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.333333333,2,TRUE
0,0.666666667,0,0,0,0.5,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.333333333,0,TRUE
0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,TRUE
0,0.75,0,0,2,0.75,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.25,0,TRUE
0,0.666666667,0,0,1,0.4,0,0,0,0,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.333333333,0,TRUE
0,0.666666667,0,0,2,0.5,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.333333333,1,TRUE
0,0.75,0,0,1,0.5,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.25,1,TRUE
0,0.833333333,0,0,1,0.555555556,0,0,0.111111111,0.222222222,2,0,0,0.444444444,0,0,1,1,0,0,0,0.111111111,0,0,1,0,2,0,0.166666667,0,TRUE
0,0.666666667,0,0,0,0.5,0,0,0,0.25,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.333333333,0,TRUE
0,0.666666667,0,0,1,0.5,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333,0,TRUE
0,0.666666667,0,0,0,0.5,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.333333333,0,TRUE
0,0.25,0,0,1,0.142857143,0,0,0,0.142857143,0,0,0,0.857142857,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0,TRUE
0,0.333333333,0,0,1,0.25,0,0,0,0.25,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.666666667,0,TRUE
0,0.25,0,0,0,0.166666667,0,0,0,0.166666667,1,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,TRUE
0,0.5,0,0,1,0.4,0,0,0,0,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,TRUE
0,0.333333333,0,0,1,0.333333333,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.666666667,0,TRUE
0,0.25,0,0,1,0.25,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0,TRUE
0,0.25,0,0,1,0.25,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0,TRUE
